bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
Mohammad Hafeez,8,5,228,138,0,1,4,0,0,0,125,9.91304347826087,0,0,0,0,0,0,0,16.25
Abu Hider,3,2,99,54,0,0,0,0,0,0,50,11.0,0,0,0,-2,0,0,0,16.0
ST Jayasuriya,3,2,117,66,0,0,0,0,0,0,50,10.636363636363637,0,0,0,-2,0,0,0,16.0
BM Tickner,3,2,118,66,0,0,0,0,0,0,50,10.727272727272727,0,0,0,-2,0,0,0,16.0
Mahmudullah,13,8,237,161,1,2,4,0,0,0,200,8.832298136645964,0,0,0,0,0,0,0,15.923076923076923
JP Duminy,8,5,130,96,0,2,0,0,0,0,125,8.125,0,0,0,0,0,0,0,15.875
SR Watson,16,10,485,310,0,1,0,0,0,0,250,9.387096774193548,0,0,0,0,0,0,0,15.6875
JW Hastings,3,2,111,60,0,1,0,0,0,0,50,11.100000000000001,0,0,0,0,-4,0,0,15.666666666666666
CR Brathwaite,13,8,477,270,0,2,0,0,0,0,200,10.6,0,0,0,-2,0,0,0,15.384615384615385
JA Morkel,8,5,208,114,0,0,0,0,0,0,125,10.94736842105263,0,0,0,-2,0,0,0,15.375
Usman Qadir,3,2,127,66,0,0,0,0,0,0,50,11.545454545454547,0,0,0,0,-4,0,0,15.333333333333334
M Ntini,3,2,103,54,0,0,0,0,0,0,50,11.444444444444445,0,0,0,0,-4,0,0,15.333333333333334
DJG Sammy,10,6,224,138,0,3,0,0,0,0,150,9.73913043478261,0,0,0,0,0,0,0,15.3
Mohammad Saifuddin,8,5,310,168,0,1,0,0,0,0,125,11.071428571428573,0,0,0,0,-4,0,0,15.25
Avesh Khan,5,3,157,108,0,1,0,0,0,0,75,8.722222222222221,0,0,0,0,0,0,0,15.2
M Theekshana,2,1,44,48,0,1,0,0,0,0,25,5.5,0,4,0,0,0,0,0,15.0
C de Grandhomme,10,6,260,155,1,0,0,0,0,0,150,10.064516129032258,0,0,0,-2,0,0,0,14.9
RAS Lakmal,5,3,195,108,0,1,0,0,0,0,75,10.833333333333334,0,0,0,-2,0,0,0,14.8
MC Henriques,5,3,94,48,1,1,0,0,0,0,75,11.75,0,0,0,0,-4,0,0,14.6
M Muralitharan,2,1,47,48,0,0,0,0,0,0,25,5.875,0,4,0,0,0,0,0,14.5
AM Peterson,2,1,23,24,0,0,0,0,0,0,25,5.75,0,4,0,0,0,0,0,14.5
JDP Oram,7,4,206,132,0,1,0,0,0,0,100,9.363636363636363,0,0,0,0,0,0,0,14.428571428571429
JE Root,5,3,94,48,0,1,0,0,0,0,75,11.75,0,0,0,0,-4,0,0,14.4
HC Knight,2,1,39,36,0,1,0,0,0,0,25,6.5,0,0,2,0,0,0,0,14.0
AD Mathews,11,6,259,161,1,2,0,0,0,0,150,9.652173913043478,0,0,0,0,0,0,0,13.909090909090908
HK Bennett,2,1,56,48,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,13.5
JD Ryder,2,1,24,18,1,0,0,0,0,0,25,8.0,0,0,0,0,0,0,0,13.0
RG Sharma,2,1,36,24,0,1,0,0,0,0,25,9.0,0,0,0,0,0,0,0,13.0
SS Connell,2,1,53,36,0,1,0,0,0,0,25,8.833333333333334,0,0,0,0,0,0,0,13.0
Yasir Arafat,2,1,73,48,0,1,0,0,0,0,25,9.125,0,0,0,0,0,0,0,13.0
LA Marsh,2,1,53,36,0,1,0,0,0,0,25,8.833333333333334,0,0,0,0,0,0,0,13.0
GSNFG Jayasuriya,2,1,39,29,0,1,0,0,0,0,25,8.068965517241379,0,0,0,0,0,0,0,13.0
Ziaur Rahman,4,2,76,48,0,1,0,0,0,0,50,9.5,0,0,0,0,0,0,0,12.75
R Powell,6,3,105,66,1,0,0,0,0,0,75,9.545454545454545,0,0,0,0,0,0,0,12.666666666666666
Mehedi Hasan Miraz,6,3,168,108,0,1,0,0,0,0,75,9.333333333333334,0,0,0,0,0,0,0,12.666666666666666
SJ Benn,8,4,271,174,0,1,0,0,0,0,100,9.344827586206897,0,0,0,0,0,0,0,12.625
SM Curran,12,6,347,222,0,1,0,0,0,0,150,9.378378378378379,0,0,0,0,0,0,0,12.583333333333334
HASD Siriwardene,4,2,155,96,0,0,0,0,0,0,50,9.6875,0,0,0,0,0,0,0,12.5
MH Yardy,2,1,41,30,0,0,0,0,0,0,25,8.2,0,0,0,0,0,0,0,12.5
Nazmul Islam,4,2,75,63,0,0,0,0,0,0,50,7.142857142857142,0,0,0,0,0,0,0,12.5
Aliya Riaz,2,1,38,24,0,0,0,0,0,0,25,9.5,0,0,0,0,0,0,0,12.5
M Kapp,2,1,53,36,0,0,0,0,0,0,25,8.833333333333334,0,0,0,0,0,0,0,12.5
TM Head,2,1,25,18,0,0,0,0,0,0,25,8.333333333333332,0,0,0,0,0,0,0,12.5
AK Kitchen,2,1,43,30,0,0,0,0,0,0,25,8.6,0,0,0,0,0,0,0,12.5
SR Taylor,2,1,40,30,0,0,0,0,0,0,25,8.0,0,0,0,0,0,0,0,12.5
Shoaib Malik,6,3,95,60,0,0,0,0,0,0,75,9.5,0,0,0,0,0,0,0,12.5
B Stanlake,4,2,142,90,0,0,0,0,0,0,50,9.466666666666667,0,0,0,0,0,0,0,12.5
BCJ Cutting,2,1,61,42,0,0,0,0,0,0,25,8.714285714285714,0,0,0,0,0,0,0,12.5
A Flintoff,2,1,69,48,0,0,0,0,0,0,25,8.625,0,0,0,0,0,0,0,12.5
JC Tredwell,6,3,178,102,0,0,0,0,0,0,75,10.470588235294118,0,0,0,-2,0,0,0,12.166666666666666
Sania Khan,2,1,62,36,0,1,0,0,0,0,25,10.333333333333334,0,0,0,-2,0,0,0,12.0
S Ismail,2,1,86,48,0,1,0,0,0,0,25,10.75,0,0,0,-2,0,0,0,12.0
