striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
P Simran Singh,6,184,133,6,17,11,8,8,16,138.34586466165413,184,17,22,-12,0,0,2,0,0,0,40.833333333333336
Shubman Gill,26,851,631,26,89,21,56,56,0,134.86529318541997,851,89,42,-52,0,0,2,0,0,0,40.15384615384615
AP Dole,1,30,18,1,2,1,4,0,0,166.66666666666669,30,2,2,-2,0,4,0,0,0,0,40.0
DP Conway,5,157,128,5,17,2,12,16,0,122.65625,157,17,4,-10,0,0,0,0,0,0,39.2
AB de Villiers,42,1313,879,42,102,63,64,96,0,149.37428896473267,1313,102,126,-84,0,0,2,0,0,0,38.54761904761905
SK Raina,55,1726,1261,55,158,59,108,112,0,136.87549563838223,1726,158,118,-110,0,0,2,0,0,0,38.43636363636364
RR Pant,25,782,551,25,66,36,52,32,0,141.92377495462796,782,66,72,-50,0,0,2,0,0,0,38.24
Q de Kock,27,824,647,27,76,33,48,64,0,127.35703245749615,824,76,66,-54,0,0,0,0,0,0,37.925925925925924
PC Valthaty,6,175,138,6,20,10,8,16,0,126.81159420289856,175,20,20,-12,0,0,0,0,0,0,37.833333333333336
JJ Roy,6,182,136,6,28,3,12,8,0,133.8235294117647,182,28,6,-12,0,0,2,0,0,0,37.666666666666664
W Jaffer,2,55,38,2,6,2,4,8,0,144.73684210526315,55,6,4,-4,0,0,2,0,0,0,37.5
JH Kallis,21,641,562,21,71,13,44,40,0,114.05693950177935,641,71,26,-42,0,0,0,0,0,0,37.142857142857146
DR Smith,25,751,541,25,72,36,48,32,0,138.81700554528652,751,72,72,-50,0,0,2,0,0,0,37.08
RS Bopara,6,183,140,6,11,8,12,8,0,130.71428571428572,183,11,16,-12,0,0,2,0,0,0,36.666666666666664
RA Tripathi,22,656,450,22,61,27,40,32,0,145.77777777777777,656,61,54,-44,0,0,2,0,0,0,36.40909090909091
CL White,11,325,247,11,23,16,24,16,0,131.57894736842107,325,23,32,-22,0,0,2,0,0,0,36.36363636363637
HH Gibbs,14,417,345,14,37,17,24,24,0,120.8695652173913,417,37,34,-28,0,0,0,0,0,0,36.285714285714285
MK Pandey,47,1423,1121,47,119,46,76,72,16,126.94023193577164,1423,119,92,-94,0,0,0,0,0,0,36.255319148936174
DJ Harris,1,30,29,1,2,1,4,0,0,103.44827586206897,30,2,2,-2,0,0,0,0,0,0,36.0
TK Curran,2,54,37,2,2,3,4,8,0,145.94594594594594,54,2,6,-4,0,0,2,0,0,0,36.0
S Sohal,8,228,157,8,27,7,16,16,0,145.22292993630572,228,27,14,-16,0,0,2,0,0,0,35.875
UT Khawaja,2,60,56,2,3,2,8,0,0,107.14285714285714,60,3,4,-4,0,0,0,0,0,0,35.5
AC Gilchrist,24,682,490,24,70,32,40,40,0,139.18367346938777,682,70,64,-48,0,0,2,0,0,0,35.416666666666664
MEK Hussey,14,409,352,14,39,9,28,24,0,116.19318181818181,409,39,18,-28,0,0,0,0,0,0,35.0
BA Stokes,14,394,282,14,31,17,24,16,16,139.7163120567376,394,31,34,-28,0,0,2,0,0,0,34.92857142857143
AK Markram,7,203,153,7,13,9,12,8,0,132.6797385620915,203,13,18,-14,0,0,2,0,0,0,34.57142857142857
N Rana,29,801,586,29,75,38,44,48,0,136.68941979522185,801,75,76,-58,0,0,2,0,0,0,34.06896551724138
Rahmanullah Gurbaz,4,106,67,4,6,8,4,8,0,158.2089552238806,106,6,16,-8,0,4,0,0,0,0,34.0
