bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
PJ Cummins,16,17,621,373,1,4,4,8,0,1,425,9.989276139410187,0,0,0,0,0,0,12,28.375
SS Cottrell,4,4,122,78,0,1,0,0,0,1,100,9.384615384615385,0,0,0,0,0,0,12,28.25
Shivam Mavi,8,8,254,168,0,2,0,0,0,2,200,9.071428571428571,0,0,0,0,0,0,24,28.25
RP Meredith,7,8,301,158,0,0,0,0,0,0,200,11.430379746835442,0,0,0,0,-4,0,0,28.0
Sachin Baby,2,2,8,10,0,0,0,0,0,0,50,4.800000000000001,6,0,0,0,0,0,0,28.0
P Awana,9,10,342,207,0,1,0,0,0,0,250,9.91304347826087,0,0,0,0,0,0,0,27.88888888888889
Ravi Bishnoi,18,19,584,402,4,4,12,0,0,0,475,8.716417910447761,0,0,0,0,0,0,0,27.5
KMA Paul,1,1,21,18,0,0,0,0,0,0,25,7.0,0,0,2,0,0,0,0,27.0
S Gopal,18,19,526,348,1,2,8,0,0,0,475,9.06896551724138,0,0,0,0,0,0,0,27.0
SM Harwood,1,1,26,24,0,0,0,0,0,0,25,6.5,0,0,2,0,0,0,0,27.0
AD Russell,36,38,1051,633,1,3,16,0,0,0,950,9.962085308056873,0,0,0,0,0,0,0,26.944444444444443
SM Curran,18,19,740,396,2,1,8,0,0,0,475,11.212121212121213,0,0,0,0,-4,0,0,26.77777777777778
R Dhawan,11,11,297,206,0,2,0,0,0,1,275,8.650485436893204,0,0,0,0,0,0,12,26.272727272727273
DP Vijaykumar,2,2,45,42,0,0,0,0,0,0,50,6.428571428571429,0,0,2,0,0,0,0,26.0
RV Gomez,1,1,29,18,0,1,0,0,0,0,25,9.666666666666668,0,0,0,0,0,0,0,26.0
FH Edwards,1,1,39,24,0,1,0,0,0,0,25,9.75,0,0,0,0,0,0,0,26.0
DS Kulkarni,29,29,942,567,0,4,8,0,0,1,725,9.968253968253968,0,0,0,0,0,0,12,25.82758620689655
TS Mills,4,4,157,90,0,1,4,0,0,0,100,10.466666666666667,0,0,0,-2,0,0,0,25.75
R Tewatia,23,22,519,363,1,1,16,0,0,2,550,8.578512396694215,0,0,0,0,0,0,24,25.73913043478261
MP Stoinis,21,21,501,285,0,5,12,0,0,0,525,10.547368421052632,0,0,0,-2,0,0,0,25.714285714285715
PP Chawla,61,61,1893,1262,3,16,8,8,0,0,1525,9.0,0,0,0,0,0,0,0,25.57377049180328
Joginder Sharma,4,4,127,78,1,1,0,0,0,0,100,9.76923076923077,0,0,0,0,0,0,0,25.5
V Pratap Singh,2,2,65,42,0,1,0,0,0,0,50,9.285714285714286,0,0,0,0,0,0,0,25.5
Karanveer Singh,4,4,170,84,0,0,0,8,0,0,100,12.142857142857142,0,0,0,0,0,-6,0,25.5
Avesh Khan,16,16,567,342,1,3,4,0,0,0,400,9.947368421052632,0,0,0,0,0,0,0,25.5
DL Chahar,17,16,513,336,1,2,8,8,0,1,400,9.160714285714285,0,0,0,0,0,0,12,25.352941176470587
NA Saini,13,13,470,276,0,2,4,0,0,0,325,10.217391304347826,0,0,0,-2,0,0,0,25.307692307692307
PP Ojha,14,14,359,252,1,1,0,0,0,0,350,8.547619047619047,0,0,0,0,0,0,0,25.142857142857142
CJ Jordan,13,12,415,255,0,2,4,8,0,1,300,9.764705882352942,0,0,0,0,0,0,12,25.076923076923077
Jaskaran Singh,2,2,34,24,0,0,0,0,0,0,50,8.5,0,0,0,0,0,0,0,25.0
Yudhvir Singh,1,1,24,18,0,0,0,0,0,0,25,8.0,0,0,0,0,0,0,0,25.0
AB McDonald,3,3,101,60,0,2,0,0,0,0,75,10.1,0,0,0,-2,0,0,0,25.0
